Sample,Condition
Poor_M9_ATC5.rep1,Poor_M9_ATC5
Poor_M9_ATC5.rep2,Poor_M9_ATC5
Rich_LB_ATC12.rep1,Rich_LB_ATC12
Rich_LB_ATC12.rep2,Rich_LB_ATC12
Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1
Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_1
Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2
Rich_M9_ATC5_2.rep2,Rich_M9_ATC5_2
Rich_M9_ATC5_CAM1.2.rep1,Rich_M9_ATC5_CAM1.2
Rich_M9_ATC5_CAM1.2.rep2,Rich_M9_ATC5_CAM1.2
Rich_M9_ATC5_NOX.rep1,Rich_M9_ATC5_NOX
Rich_M9_ATC5_NOX.rep2,Rich_M9_ATC5_NOX
Rich_M9_ATC5_PH5.rep1,Rich_M9_ATC5_PH5
Rich_M9_ATC5_PH5.rep2,Rich_M9_ATC5_PH5
Rich_M9_ATC5_TMP.rep1,Rich_M9_ATC5_TMP
Rich_M9_ATC5_TMP.rep2,Rich_M9_ATC5_TMP
Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1
Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_1
Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2
Rich_M9_No_ATC_2.rep2,Rich_M9_No_ATC_2
